Transaction_ID,Date,Year,Day_Of_Week,Quarter,Store_ID,Store_Type,Region,City,Product_ID,Product_Category,Product_Subcategory,Brand,Units_Sold,Unit_Price,Discount_Percent,Promotion,Holiday,Inventory_Level,Competitor_Price,Customer_Footfall,Marketing_Spend,Online_Orders,Returns,Customer_Satisfaction,Sales_Amount,Demand_Level
318078,02-01-2026,2026,Friday,1,ST040,Convenience Store,East,Denver,PR0276,Groceries,Snacks,EcoLife,57,18.49,10,Yes,No,784,24.06,424,3222.87,131,1,3.95,931.9,Medium
318326,02-01-2026,2026,Friday,1,ST001,Convenience Store,West,Phoenix,PR0085,Toys,Board Games,UrbanCo,16,52.85,15,Yes,No,545,45.04,490,1351.99,86,0,4.17,718.76,Medium
317077,02-01-2026,2026,Friday,1,ST050,Convenience Store,Central,Houston,PR0158,Groceries,Dairy,ValueMax,19,29.07,5,No,No,837,34.79,228,1490.56,77,1,3.85,497.1,Low
310815,02-01-2026,2026,Friday,1,ST076,Convenience Store,East,Denver,PR0286,Electronics,Laptop,Apex,27,329.15,30,Yes,No,868,376.66,195,5227.62,86,0,3.02,6220.94,High
315202,02-01-2026,2026,Friday,1,ST029,Convenience Store,Central,Denver,PR0452,Toys,Educational,Apex,11,49.05,0,No,No,544,44.98,109,3789.59,64,0,4.65,539.55,Medium
316749,02-01-2026,2026,Friday,1,ST047,Hypermarket,West,Denver,PR0206,Groceries,Beverages,ValueMax,50,16.58,0,Yes,No,784,14.46,626,4269.58,139,1,4.03,812.42,Medium
324426,02-01-2026,2026,Friday,1,ST029,Supermarket,East,Los Angeles,PR0113,Groceries,Fresh Produce,EcoLife,52,16.01,25,Yes,Yes,327,18.4,652,4666.04,85,2,3.87,600.38,Medium
316913,02-01-2026,2026,Friday,1,ST024,Convenience Store,Central,Phoenix,PR0138,Sports,Outdoor,ValueMax,7,93.28,15,Yes,No,238,107.81,283,3416.44,106,0,3.91,555.02,Medium
319265,02-01-2026,2026,Friday,1,ST082,Convenience Store,Central,New York,PR0152,Groceries,Snacks,ValueMax,19,15.12,5,Yes,No,416,11.24,270,2909.08,169,1,4.57,258.55,Low
320552,02-01-2026,2026,Friday,1,ST075,Hypermarket,Central,New York,PR0223,Beauty,Makeup,UrbanCo,27,38.74,10,Yes,No,545,38.97,513,3999.94,98,0,4.19,941.38,Medium
317490,02-01-2026,2026,Friday,1,ST045,Online Store,East,Phoenix,PR0396,Beauty,Fragrance,Nova,30,40.26,10,Yes,No,696,38.07,260,3940.62,356,5,3.4,905.85,Medium
324954,02-01-2026,2026,Friday,1,ST056,Online Store,East,Seattle,PR0061,Groceries,Fresh Produce,ValueMax,29,21,15,Yes,No,514,23.13,147,3790.66,395,2,3.18,481.95,Low
315673,02-01-2026,2026,Friday,1,ST064,Supermarket,East,Houston,PR0076,Groceries,Snacks,PrimePlus,49,18.49,15,Yes,No,579,17.5,421,5602.28,155,2,4.02,738.68,Medium
312033,02-01-2026,2026,Friday,1,ST023,Convenience Store,West,Phoenix,PR0414,Groceries,Snacks,Apex,16,7.09,0,No,No,377,7.14,66,3145.77,108,0,4.01,113.44,Low
307323,03-01-2026,2026,Saturday,1,ST013,Supermarket,Central,Phoenix,PR0283,Clothing,Kids,Apex,30,49.11,5,No,No,599,46.04,487,4503.2,56,4,3.88,1213.02,Medium
317032,03-01-2026,2026,Saturday,1,ST052,Supermarket,Central,Denver,PR0181,Beauty,Fragrance,ValueMax,49,27.95,10,Yes,No,515,36.52,566,4223.75,168,2,3.76,1182.28,Medium
307476,03-01-2026,2026,Saturday,1,ST034,Convenience Store,North,New York,PR0233,Home & Kitchen,Storage,EcoLife,19,157.49,0,No,Yes,504,132.07,614,3638.78,152,1,4.16,2834.82,High
313329,03-01-2026,2026,Saturday,1,ST019,Supermarket,North,Atlanta,PR0203,Groceries,Beverages,EcoLife,78,13.72,20,Yes,No,650,17.13,568,4059.07,127,7,3.52,779.3,Medium
312337,03-01-2026,2026,Saturday,1,ST099,Hypermarket,West,Seattle,PR0357,Clothing,Kids,ValueMax,34,64.48,25,Yes,No,638,69.71,423,3882.12,140,2,2.95,1547.52,Medium
320954,03-01-2026,2026,Saturday,1,ST067,Hypermarket,North,New York,PR0234,Groceries,Dairy,ValueMax,53,9.95,15,Yes,No,546,11.37,780,2446.65,122,7,4.33,389.04,Low
317075,03-01-2026,2026,Saturday,1,ST086,Hypermarket,Central,New York,PR0436,Home & Kitchen,Decor,Nova,13,150.42,20,Yes,No,286,132.86,686,4363.14,143,0,4.59,1564.37,Medium
317779,03-01-2026,2026,Saturday,1,ST031,Supermarket,Central,Los Angeles,PR0142,Electronics,Audio,Nova,34,255.29,20,Yes,No,830,260.69,379,4458.03,158,3,4.46,6331.19,High
313872,03-01-2026,2026,Saturday,1,ST098,Supermarket,South,Chicago,PR0267,Clothing,Kids,Zenith,24,51.71,0,Yes,No,350,52.52,511,5203.11,92,1,4.46,1189.33,Medium
318686,03-01-2026,2026,Saturday,1,ST059,Convenience Store,Central,Denver,PR0427,Groceries,Fresh Produce,Nova,13,11.89,0,No,No,169,11.89,194,3088.37,73,0,4.08,154.57,Low
321987,03-01-2026,2026,Saturday,1,ST021,Hypermarket,East,Los Angeles,PR0041,Home & Kitchen,Decor,PrimePlus,27,162.28,25,Yes,No,494,166.41,584,4467.62,173,2,4.42,3042.75,High
300881,03-01-2026,2026,Saturday,1,ST022,Convenience Store,South,Chicago,PR0294,Sports,Fitness,PrimePlus,17,114.09,0,No,Yes,403,129.3,407,2848.23,102,3,4.24,1597.26,Medium
310874,03-01-2026,2026,Saturday,1,ST073,Supermarket,North,Atlanta,PR0085,Electronics,Accessories,Apex,18,359.55,25,Yes,No,604,353.58,365,4425.33,204,0,4.24,4853.92,High
316479,03-01-2026,2026,Saturday,1,ST095,Supermarket,North,Los Angeles,PR0189,Toys,Educational,Nova,39,17.94,5,No,No,673,18.53,533,3195.91,148,1,3.46,647.63,Medium
301693,04-01-2026,2026,Sunday,1,ST051,Hypermarket,West,Phoenix,PR0247,Electronics,Laptop,FreshMart,18,560.77,10,Yes,No,544,480.2,759,2172.15,110,1,3.95,8579.78,Very High
308611,04-01-2026,2026,Sunday,1,ST007,Supermarket,North,Boston,PR0246,Groceries,Dairy,ValueMax,12,25.89,20,Yes,No,210,23.36,326,2972.54,165,1,4.45,227.83,Low
309835,04-01-2026,2026,Sunday,1,ST073,Convenience Store,North,Phoenix,PR0264,Clothing,Footwear,ValueMax,39,45.31,10,Yes,Yes,433,52.03,486,4515.41,93,0,4.53,1590.38,Medium
324734,04-01-2026,2026,Sunday,1,ST068,Convenience Store,South,Atlanta,PR0189,Clothing,Footwear,UrbanCo,64,50.89,25,Yes,Yes,579,57.88,601,4677.69,158,4,4.18,2290.05,High
305694,04-01-2026,2026,Sunday,1,ST096,Hypermarket,South,Phoenix,PR0217,Beauty,Haircare,Nova,19,55.56,0,No,No,615,60.17,709,1819.52,88,0,3.95,1055.64,Medium
324222,04-01-2026,2026,Sunday,1,ST023,Convenience Store,North,Boston,PR0330,Clothing,Men,Zenith,25,68.93,15,Yes,No,499,78.57,237,4418.98,195,1,3.88,1406.17,Medium
324815,04-01-2026,2026,Sunday,1,ST060,Convenience Store,East,Seattle,PR0429,Clothing,Footwear,Apex,36,32.68,15,Yes,No,678,32.72,514,2569.85,149,5,3.3,861.12,Medium
317849,04-01-2026,2026,Sunday,1,ST057,Supermarket,Central,Phoenix,PR0051,Beauty,Haircare,UrbanCo,13,99.54,25,Yes,No,626,91.41,303,3429.75,77,0,4.14,970.52,Medium
306288,04-01-2026,2026,Sunday,1,ST020,Supermarket,North,Los Angeles,PR0320,Home & Kitchen,Storage,Nova,24,183.04,15,Yes,No,703,190.55,544,3053.75,85,1,3.14,3578.43,High
308672,04-01-2026,2026,Sunday,1,ST082,Convenience Store,East,Atlanta,PR0204,Electronics,Accessories,FreshMart,13,559.59,15,Yes,No,370,569.54,359,4106.8,67,1,2.76,5707.82,High
316939,04-01-2026,2026,Sunday,1,ST006,Hypermarket,East,New York,PR0330,Groceries,Fresh Produce,Nova,26,17.72,15,Yes,No,133,20.82,775,4476.77,113,1,4.23,376.55,Low
302307,04-01-2026,2026,Sunday,1,ST070,Hypermarket,East,Los Angeles,PR0262,Toys,Board Games,Nova,16,48.65,5,No,No,403,57.56,516,2167.17,0,0,3.84,739.48,Medium
311040,04-01-2026,2026,Sunday,1,ST054,Supermarket,North,New York,PR0024,Groceries,Fresh Produce,Zenith,30,30.4,0,Yes,No,512,32.64,377,5052.38,158,0,3.67,912,Medium
300974,04-01-2026,2026,Sunday,1,ST021,Hypermarket,Central,Atlanta,PR0286,Clothing,Footwear,EcoLife,31,38,0,No,No,678,36.35,688,3885.77,61,1,4.09,1140,Medium
317560,04-01-2026,2026,Sunday,1,ST053,Supermarket,East,Phoenix,PR0245,Electronics,Accessories,Apex,11,409.74,0,No,No,316,379.83,621,1812.94,59,0,3.8,4507.14,High
303452,04-01-2026,2026,Sunday,1,ST075,Hypermarket,South,Phoenix,PR0122,Clothing,Men,UrbanCo,30,37.18,10,Yes,No,619,31.01,617,1084.03,174,2,5,936.94,Medium
301604,04-01-2026,2026,Sunday,1,ST064,Hypermarket,Central,Houston,PR0001,Sports,Outdoor,EcoLife,33,84.81,0,No,No,600,90.45,863,3163.38,129,1,3.76,2713.92,High
300332,04-01-2026,2026,Sunday,1,ST007,Convenience Store,East,New York,PR0403,Toys,Action Figures,PrimePlus,31,35.95,20,Yes,No,436,40.74,465,4523.39,122,2,4.28,834.04,Medium
314165,05-01-2026,2026,Monday,1,ST052,Supermarket,East,Los Angeles,PR0026,Groceries,Snacks,EcoLife,65,10.59,25,Yes,No,491,9.96,517,4443.46,135,4,4.21,484.49,Low
320051,05-01-2026,2026,Monday,1,ST079,Convenience Store,East,Phoenix,PR0164,Toys,Board Games,UrbanCo,28,28.81,25,Yes,No,631,30.56,404,1329.65,183,0,2.97,605.01,Medium
322515,05-01-2026,2026,Monday,1,ST089,Supermarket,West,Chicago,PR0020,Home & Kitchen,Furniture,PrimePlus,8,148.01,5,No,No,549,112.95,20,3977.02,8,0,3.53,1124.88,Medium
303045,05-01-2026,2026,Monday,1,ST041,Supermarket,West,Chicago,PR0415,Beauty,Skincare,Nova,14,61.84,5,Yes,No,481,51.88,545,2418.87,136,0,4.5,822.47,Medium
307270,05-01-2026,2026,Monday,1,ST096,Online Store,Central,Dallas,PR0490,Groceries,Fresh Produce,Nova,27,29.98,35,Yes,No,522,30.81,111,3537.99,349,2,4,487.18,Low
304808,05-01-2026,2026,Monday,1,ST070,Supermarket,West,Los Angeles,PR0102,Toys,Board Games,ValueMax,37,38.26,30,Yes,No,835,34.79,543,4082.21,236,4,4.16,883.81,Medium
323520,05-01-2026,2026,Monday,1,ST020,Hypermarket,South,Dallas,PR0243,Groceries,Dairy,Zenith,29,18.06,5,No,No,829,16.12,800,2147.91,69,0,5,497.55,Low
312768,05-01-2026,2026,Monday,1,ST011,Supermarket,North,Boston,PR0256,Groceries,Dairy,Nova,29,13.91,0,No,No,793,12.35,229,2855.41,141,2,5,375.57,Low
302803,05-01-2026,2026,Monday,1,ST076,Online Store,North,Seattle,PR0430,Beauty,Fragrance,Nova,16,30.91,5,No,No,652,19.88,20,1968.14,304,0,3.94,469.83,Low
311792,05-01-2026,2026,Monday,1,ST050,Online Store,South,Chicago,PR0384,Clothing,Men,PrimePlus,23,65.56,20,Yes,No,863,66.89,20,2143.96,348,0,3.86,1206.3,Medium
301077,05-01-2026,2026,Monday,1,ST077,Supermarket,South,Los Angeles,PR0021,Electronics,Laptop,EcoLife,33,166.76,25,Yes,No,562,171.47,709,4561.7,109,1,3.33,4002.24,High
317885,05-01-2026,2026,Monday,1,ST034,Convenience Store,South,Dallas,PR0432,Clothing,Kids,Apex,56,45.25,15,Yes,No,830,37.79,347,5273.1,200,4,4.41,2000.05,High
303375,05-01-2026,2026,Monday,1,ST067,Convenience Store,East,Dallas,PR0282,Home & Kitchen,Cookware,Apex,7,110.12,15,Yes,No,203,83.74,304,3509.38,143,1,4.94,561.61,Medium
309432,05-01-2026,2026,Monday,1,ST030,Hypermarket,West,Dallas,PR0232,Sports,Sportswear,EcoLife,16,108.84,0,No,No,280,103.22,536,3631.52,129,0,4.95,1741.44,Medium
308304,05-01-2026,2026,Monday,1,ST003,Online Store,Central,Dallas,PR0457,Sports,Outdoor,ValueMax,6,66.68,5,No,No,287,62.99,78,999.81,338,0,3.81,380.08,Low
311046,05-01-2026,2026,Monday,1,ST094,Online Store,North,Atlanta,PR0444,Beauty,Fragrance,Zenith,17,63.11,5,No,No,170,64.1,492,3679.31,273,1,4.21,959.27,Medium
315872,05-01-2026,2026,Monday,1,ST070,Hypermarket,West,Phoenix,PR0297,Home & Kitchen,Furniture,ValueMax,14,259.6,0,No,No,469,235.36,618,3229.81,1,1,3.52,3374.8,High
305589,05-01-2026,2026,Monday,1,ST092,Convenience Store,North,Los Angeles,PR0047,Electronics,Audio,Apex,5,427.68,10,Yes,No,451,404.91,410,3442.19,163,0,4.6,1924.56,Medium
309938,06-01-2026,2026,Tuesday,1,ST091,Hypermarket,North,Denver,PR0494,Electronics,Mobile,UrbanCo,9,274.81,20,Yes,No,363,265.6,436,3063.66,139,1,3.97,1758.78,Medium
307676,06-01-2026,2026,Tuesday,1,ST091,Supermarket,North,Atlanta,PR0109,Home & Kitchen,Storage,PrimePlus,23,83.39,0,No,Yes,287,94.05,652,3855.02,102,2,4.25,1751.19,Medium
313331,06-01-2026,2026,Tuesday,1,ST013,Convenience Store,North,Dallas,PR0034,Groceries,Fresh Produce,Nova,6,16.75,0,No,No,227,15.53,298,2613.6,118,0,4.69,100.5,Low
314370,06-01-2026,2026,Tuesday,1,ST087,Supermarket,East,Seattle,PR0408,Home & Kitchen,Decor,Apex,25,117.09,10,Yes,No,645,127.42,443,3573.05,104,1,3.81,2529.14,High
306548,06-01-2026,2026,Tuesday,1,ST026,Supermarket,Central,New York,PR0394,Clothing,Footwear,Apex,18,53.35,0,No,No,518,50.54,386,2607.93,204,0,3.28,960.3,Medium
323018,06-01-2026,2026,Tuesday,1,ST012,Convenience Store,South,Los Angeles,PR0055,Groceries,Dairy,Nova,59,18.72,5,No,No,609,22.13,673,3768.78,139,3,4.12,995.9,Medium
311163,06-01-2026,2026,Tuesday,1,ST025,Online Store,West,Seattle,PR0229,Home & Kitchen,Furniture,UrbanCo,24,89.65,0,No,Yes,452,97.24,20,3709.16,338,0,4.88,2151.6,High
320104,06-01-2026,2026,Tuesday,1,ST008,Convenience Store,North,Los Angeles,PR0067,Groceries,Snacks,FreshMart,28,12.59,25,Yes,No,386,13.63,101,3593.57,191,0,4.42,264.39,Low
302879,06-01-2026,2026,Tuesday,1,ST067,Supermarket,South,Houston,PR0416,Electronics,Mobile,EcoLife,57,220.93,0,No,Yes,755,261.43,867,3156.48,169,1,5,12372.08,Very High
311744,06-01-2026,2026,Tuesday,1,ST072,Hypermarket,Central,Dallas,PR0489,Groceries,Dairy,ValueMax,83,16.78,30,Yes,No,698,19.89,678,3897.58,86,2,3.98,951.43,Medium
310250,06-01-2026,2026,Tuesday,1,ST046,Supermarket,Central,Atlanta,PR0032,Beauty,Skincare,Nova,35,52.32,10,Yes,No,572,51.75,547,5511.84,168,3,4.02,1506.82,Medium
322482,06-01-2026,2026,Tuesday,1,ST012,Online Store,North,Los Angeles,PR0306,Toys,Puzzles,ValueMax,8,48.38,5,No,No,431,50.8,20,1440.99,286,0,4.27,367.69,Low
317027,06-01-2026,2026,Tuesday,1,ST031,Online Store,Central,New York,PR0223,Groceries,Fresh Produce,ValueMax,50,9.8,10,Yes,No,689,11.3,345,2147.31,433,0,4.71,441,Low
309981,06-01-2026,2026,Tuesday,1,ST060,Convenience Store,West,Boston,PR0347,Electronics,Audio,Apex,2,381.05,0,No,No,101,330.09,84,1401.29,150,0,3.51,762.1,Medium
308869,06-01-2026,2026,Tuesday,1,ST054,Online Store,East,Atlanta,PR0349,Toys,Puzzles,UrbanCo,27,36.24,15,Yes,No,636,40.41,179,3868.22,331,0,4.48,831.71,Medium
308257,06-01-2026,2026,Tuesday,1,ST076,Supermarket,North,Dallas,PR0089,Electronics,Mobile,Apex,31,309.51,0,No,No,893,340.42,594,2244.78,166,2,4.05,8975.79,Very High
301317,07-01-2026,2026,Wednesday,1,ST067,Hypermarket,North,Atlanta,PR0323,Groceries,Fresh Produce,UrbanCo,42,19.14,25,Yes,No,528,21.25,693,3554.15,157,0,4.9,602.91,Medium
312037,07-01-2026,2026,Wednesday,1,ST018,Online Store,West,Houston,PR0320,Clothing,Men,UrbanCo,10,52.71,0,Yes,No,259,46.47,295,3576.1,355,0,4.56,527.1,Medium
302802,07-01-2026,2026,Wednesday,1,ST033,Supermarket,East,Atlanta,PR0347,Home & Kitchen,Furniture,Nova,12,153.03,0,No,No,324,172.72,564,2983.32,25,0,4.72,1836.36,Medium
312053,07-01-2026,2026,Wednesday,1,ST055,Hypermarket,Central,Los Angeles,PR0023,Sports,Fitness,Apex,19,60.03,15,Yes,No,278,64.47,757,3949.23,152,0,3.07,969.48,Medium
301326,07-01-2026,2026,Wednesday,1,ST027,Supermarket,West,Los Angeles,PR0199,Clothing,Footwear,UrbanCo,29,68.75,0,No,No,662,69.93,415,3060.64,179,1,3.88,1925,Medium
315745,07-01-2026,2026,Wednesday,1,ST060,Hypermarket,Central,Dallas,PR0202,Groceries,Fresh Produce,Zenith,12,11.39,0,No,No,136,12.09,509,2630.7,84,1,4.25,125.29,Low
324789,07-01-2026,2026,Wednesday,1,ST052,Hypermarket,Central,Denver,PR0459,Electronics,Laptop,Nova,33,352.88,0,Yes,No,584,404.16,684,3458.23,101,3,4.06,10586.4,Very High
315173,07-01-2026,2026,Wednesday,1,ST100,Supermarket,East,Houston,PR0164,Electronics,Mobile,PrimePlus,30,225.07,30,Yes,No,695,213.3,602,2495.08,168,1,3.19,4568.92,High
319123,07-01-2026,2026,Wednesday,1,ST007,Supermarket,North,Atlanta,PR0247,Beauty,Makeup,Zenith,23,46.42,0,No,Yes,383,50.41,403,4449.34,5,1,2.81,1021.24,Medium
307511,07-01-2026,2026,Wednesday,1,ST023,Supermarket,North,Phoenix,PR0322,Groceries,Fresh Produce,Apex,53,31.69,15,Yes,No,993,34.57,564,4465.71,68,4,4.51,1319.89,Medium
323086,07-01-2026,2026,Wednesday,1,ST090,Supermarket,West,Seattle,PR0110,Groceries,Fresh Produce,Zenith,67,8.52,25,Yes,No,719,8.65,359,4978.05,135,1,4.24,421.74,Low
316715,07-01-2026,2026,Wednesday,1,ST034,Supermarket,West,New York,PR0371,Home & Kitchen,Decor,ValueMax,21,118.21,30,Yes,No,604,102.98,504,4138.57,54,0,4.14,1737.69,Medium
306085,07-01-2026,2026,Wednesday,1,ST073,Hypermarket,East,Houston,PR0442,Home & Kitchen,Decor,ValueMax,11,144.64,0,No,No,398,164.12,537,1236.18,2,2,4.24,1301.76,Medium
302962,07-01-2026,2026,Wednesday,1,ST093,Convenience Store,Central,Phoenix,PR0297,Clothing,Men,PrimePlus,16,35.18,5,No,No,660,35.81,216,2158.89,85,1,4.7,501.32,Medium
311483,07-01-2026,2026,Wednesday,1,ST048,Supermarket,Central,Los Angeles,PR0380,Home & Kitchen,Cookware,EcoLife,20,126.29,0,No,Yes,761,131.66,662,1991.63,156,1,4.13,2399.51,High
303913,07-01-2026,2026,Wednesday,1,ST059,Supermarket,East,Los Angeles,PR0335,Clothing,Kids,Apex,25,44.24,15,Yes,No,437,37.56,681,3966.01,150,0,4.51,940.1,Medium
303496,07-01-2026,2026,Wednesday,1,ST024,Supermarket,East,Atlanta,PR0319,Home & Kitchen,Storage,EcoLife,27,82.1,0,No,No,665,91.28,418,2767.29,84,2,3.44,2052.5,High
306128,07-01-2026,2026,Wednesday,1,ST023,Convenience Store,East,Denver,PR0218,Clothing,Kids,Zenith,13,130.24,15,Yes,No,493,159.31,268,1135.31,149,1,3.5,1328.45,Medium
316542,08-01-2026,2026,Thursday,1,ST047,Hypermarket,North,Atlanta,PR0040,Clothing,Kids,Apex,30,47.1,15,Yes,No,578,27.13,757,4323.97,181,2,4.2,1120.98,Medium
306069,08-01-2026,2026,Thursday,1,ST033,Convenience Store,North,Seattle,PR0037,Electronics,Accessories,Apex,12,363.73,15,Yes,No,412,399,371,3134.06,184,2,4.77,3091.7,High
301222,08-01-2026,2026,Thursday,1,ST007,Online Store,South,New York,PR0325,Beauty,Fragrance,Nova,23,45.94,0,No,No,509,52.36,240,2570.72,304,0,3.63,1056.62,Medium
317232,08-01-2026,2026,Thursday,1,ST099,Supermarket,North,Seattle,PR0242,Toys,Action Figures,UrbanCo,33,18.6,0,No,No,902,18.86,297,2960.09,166,1,3.18,595.2,Medium
320094,08-01-2026,2026,Thursday,1,ST033,Online Store,North,Chicago,PR0049,Clothing,Kids,Nova,22,63.18,25,Yes,No,752,64.53,20,3962.16,281,2,4.63,947.7,Medium
302164,08-01-2026,2026,Thursday,1,ST009,Hypermarket,Central,Houston,PR0357,Groceries,Snacks,FreshMart,43,17.7,5,No,No,618,18.45,658,3311.15,87,1,4.63,706.23,Medium
323846,08-01-2026,2026,Thursday,1,ST010,Convenience Store,North,Atlanta,PR0332,Electronics,Mobile,Apex,7,366.18,20,Yes,No,116,415.73,523,4166,147,0,3.21,2050.61,High
311994,08-01-2026,2026,Thursday,1,ST094,Convenience Store,North,Phoenix,PR0075,Groceries,Dairy,FreshMart,29,17.15,30,Yes,No,411,19.15,411,4008.78,174,2,5,324.13,Low
302500,08-01-2026,2026,Thursday,1,ST040,Supermarket,North,Phoenix,PR0325,Sports,Team Sports,FreshMart,18,122.65,15,Yes,No,639,95.37,416,3435.5,130,0,4.6,1876.54,Medium
300059,08-01-2026,2026,Thursday,1,ST071,Hypermarket,East,Houston,PR0100,Groceries,Fresh Produce,UrbanCo,53,9.43,25,Yes,No,907,8.33,720,3818.68,93,0,2.88,374.84,Low
316652,08-01-2026,2026,Thursday,1,ST099,Supermarket,South,Atlanta,PR0417,Clothing,Footwear,Zenith,23,53.74,15,Yes,No,489,49.56,550,3019.26,148,1,3.91,1004.94,Medium
